Timestamp,Entering Grade Level,District,Birth Month,OLSAT Verbal Score,OLSAT Verbal Percentile,NNAT Non Verbal Raw Score,NNAT Non Verbal Percentile,Overall Score,School Preferences,School Assigned,Will you enroll there?
4/8/2017 6:44:01,1,6,September,28,99,45,99,99,"NEST+m, TAG, Anderson, Q300",NEST,YES
4/7/2017 10:40:45,K,,August,25,99,39,99,99,"Anderson, NEST+m",,Maybe
4/7/2017 10:41:56,1,,March,27,96,42,99,98,,,Maybe
4/7/2017 10:43:31,K,,September,23,97,40,99,98,,,
4/10/2017 10:18:34,K,22,April,25,98,38,99,99,Brooklyn School of Inquiry,Currently - local Brooklyn dual language,Maybe
4/7/2017 11:03:21,K,,May,24,97,36,98,98,,,
4/7/2017 11:15:28,K,,February,26,99,42,99,99,Anderson NEST TAG Q300,,
4/7/2017 11:26:16,K,,October,24,99,42,99,99,"Nest+M, Anderson",,Yes
4/7/2017 11:31:41,1,,March,23,81,42,99,95,,,
4/7/2017 11:32:52,2,,April,29,99,44,99,99,Any citywide or district 3 school,,Yes
4/7/2017 11:57:06,K,,June,17,77,39,99,94,,,Maybe
4/7/2017 12:03:49,K,,December,23,98,45,99,99,,,
4/7/2017 12:36:07,1,,July,24,86,39,98,94,,,
4/7/2017 12:42:05,1,,May,29,99,48,99,99,,,
4/7/2017 13:00:25,1,,January,28,96,43,99,98,,,
4/7/2017 13:16:38,K,,January,26,99,40,99,99,,,
4/7/2017 14:50:06,1,,January,26,89,46,99,96,,,
4/7/2017 16:19:39,1,,June,25,89,41,99,96,,,
4/8/2017 8:20:44,K,11,December,21,96,43,99,98,PS121 ,,Yes
4/8/2017 8:33:07,K,3,August,25,99,39,99,99,"Anderson, NEST+m",,Maybe
4/8/2017 8:44:05,K,26,May,28,99,46,99,99,Anderson,PS 203,Maybe
4/8/2017 8:54:04,K,28,July,28,99,38,99,99,,,
4/8/2017 9:26:30,2,2,February,28,97,44,99,98,,,
4/8/2017 9:41:44,1,3,November,28,99,41,99,99,"Anderson, NEST+M, Lower Lab",,Yes
4/8/2017 9:56:57,1,1,January,26,89,42,99,96,,,
4/8/2017 12:34:56,2,26,January,28,97,43,99,98,PS Q203,PS Q203,Yes
4/8/2017 16:31:36,1,2,March,28,99,45,99,99,,,Maybe
4/8/2017 19:17:06,2,2,November,28,99,47,99,99,Anderson,,Yes
4/8/2017 19:56:05,1,15,January,26,89,46,99,96,Likely staying in zoned schools; D15 G&T options are limited.,,
4/8/2017 22:08:30,K,25,February,27,99,46,99,99,TBD,,Yes
4/9/2017 0:11:05,K,14,May,27,99,45,99,99,Nest,,Maybe
4/10/2017 8:30:29,K,11,March,32,97,40,99,98,Tag,175,Maybe
4/10/2017 9:35:21,K,20,May,19,87,40,99,96,PS229,,No
4/10/2017 10:04:50,K,25,May,24/30,97,36/48,98,98,Anderson,PS 32 Q,Yes
4/10/2017 13:25:42,K,28,August,13,55,27,90,76,,,
4/10/2017 20:09:49,K,3,August,29,99,37,99,99,Anderson,,Yes
4/11/2017 20:01:30,K,2,July,18,83,38,99,95,,,Maybe
4/11/2017 22:32:23,K,3,December,23/30,98,40/48,99,99,"Anderson, Tag Young, Nest+M",,Yes
4/12/2017 12:40:43,K,28,November,18,88,45,99,96,TBD,,Maybe
4/12/2017 23:47:39,K,26,July,22,86,41,99,96,,,Yes
4/13/2017 13:10:00,K,3,April,23,96,39,99,98,,,
4/13/2017 14:05:27,K,32,March,17/30,79,36/48,99,94,,,
4/13/2017 14:33:37,1,2,January,24,86,42,99,96,,,Yes
4/13/2017 15:20:13,K,2,October,26,99,35,99,99,,,
4/13/2017 16:21:18,K,32,February,26,99,40,99,99,Nest,n/a,No
4/16/2017 23:39:12,1,3,December,27,99,43,99,99,Any city-wide,,Yes
4/17/2017 0:53:01,1,2,January,28,96,46,99,98,,,
4/17/2017 11:08:35,K,26,March,24,96,44,99,98,PS188,,Yes
4/17/2017 16:14:41,1,21,December,29,99,45,99,99,BSI,,
4/17/2017 22:12:28,K,2,September,28,99,42,99,99,,,
4/18/2017 11:09:44,1,2,March,29,99,44,99,99,,Anderson,No
4/19/2017 23:39:34,K,24,February,20,87,33,93,90,,,Maybe
4/20/2017 15:10:19,2,15,December,28,99,44,99,99,NEST+M,,
4/20/2017 20:32:27,K,21,March,25,98,40,99,99,"Nest+m, BSI",,Maybe
4/21/2017 11:40:53,K,26,January,24,99,45,99,98,,,
4/21/2017 17:31:21,K,3,April,24,97,40,99,99,,,
4/24/2017 10:18:34,K,2,July,24,97,34,98,98,"NEST, LL, Anderson, TAG, 130,11,124,33",,
4/24/2017 11:38:20,K,28,February,23,95,37,98,97,"Nest+m, PS144, PS174",,Yes
4/24/2017 18:23:22,K,28,July,27,99,38,99,99,,,
4/24/2017 18:23:48,K,17,October,22,96,34,99,98,,,
4/24/2017 20:56:49,K,2,May,25,99,36,98,99,"Anderson, NEST, PS 77, TAG ",PS 158,Yes
4/25/2017 9:44:43,K,3,March,26,99,45,99,99,Anderson,,Yes
4/25/2017 10:14:23,1,2,January,26,97,39,99,98,na,,No
4/25/2017 10:25:19,K,2,March,28,99,43,99,99,"Anderson, NEST, TAG, PS77, PS33, PS11",,Yes
4/25/2017 10:59:38,1,26,April,23,81,45,99,95,p.s.203q,none,Yes
4/25/2017 11:12:19,1,28,May,29,99,48,99,99,Q300,,Yes
4/25/2017 13:47:57,2,30,July,29,99,40,99,99,"NEST, Anderson, 30th Av",,Maybe
4/25/2017 14:00:06,K,2,January,24,96,40,99,98,,,
4/26/2017 10:26:30,K,2,September,99,99,99,99,99,,,
4/26/2017 13:16:22,K,2,January,25,98,41,99,99,"Anderson,NEST+m,LL,PS11",,
4/26/2017 14:44:10,K,31,January,19,81,38,99,95,"PS50,PS229,PS205,PS53",,Yes
4/26/2017 17:16:18,1,2,May,29,99,44,99,99,"Anderson, Nest, Tag, LL",,Maybe
4/26/2017 23:34:58,3,30,October,90,90,90,90,90,,,
4/27/2017 11:28:40,K,2,November,20,90,39,99,96,PS11,,Maybe
4/28/2017 8:37:25,K,2,March,21,90,39,99,96,"LL, 198, 11, 130, 217, 124, 33",,
4/28/2017 11:41:59,2,2,November,28,99,47,99,99,"Anderson, nestM, lower lab",,
4/29/2017 21:58:21,3,3,March,30,99,39,99,99,,,
5/3/2017 10:40:02,K,20,December,23,98,37,99,99,"nest+m, BSI, Anderson, Q300",,
5/3/2017 10:41:51,K,20,December,23,98,37,99,99,"nest, bsi, anderson",,
5/3/2017 17:06:18,1,17,February,21,69,42,99,92,"316, 38, ",,Maybe
5/4/2017 10:16:30,K,20,January,24/30,96,39/48,99,98,BSI,,Yes
5/5/2017 21:41:31,K,28,May,35,94,40,98,96,"144, 174",,
5/5/2017 21:44:21,K,28,March,22,94,40,98,96,,,
5/7/2017 18:56:39,1,1,October,28,99,41,99,99,"Nest, Anderson",,Yes
5/8/2017 11:38:31,K,25,August,Fill out later.,~70,Fill out later.,99,93,,,
5/9/2017 3:30:26,2,2,May,28,98,37,95,97,Anderson (Sibling),,Yes
5/10/2017 20:31:46,K,2,July,19/30,87,41/48,99,96,"11,198,33",,Yes
5/15/2017 15:33:17,1,21,November,29,99,44,99,99,Bsi,,
5/16/2017 10:18:35,K,28,December,26,99,46,99,99,NEST/Anderson/Q300,,
5/24/2017 13:37:41,K,30,February,23,95,40,99,98,"300, 217, 122, 166",,Yes
5/24/2017 14:32:37,K,26,February,25,98,41,99,99,"Nest, Q300, PS188, PS203",,
5/29/2017 19:48:04,K,22,October,30,99,43,99,99,Brooklyn school of inquiry,,Yes
5/31/2017 23:19:23,K,20,February,30,99,42,99,99,Bsi,,
6/1/2017 12:36:44,K,2,June,24,97,43,99,98,"Anderson, NEST, PS130, PS124, Lower Lab, PS11, PS33, TAG, BSI",PS130,Yes
6/1/2017 15:45:11,K,2,May,25,99,36,98,99,"Anderson, NEST, Lower Lab, TAG",TAG,Yes
6/1/2017 17:24:36,K,22,April,25,98,38,99,99,Brooklyn School of Inquiry,Brooklyn School of Inquiry,Yes
6/1/2017 17:27:50,K,3,January,23,93,38,99,97,"539, 334, 166, 77, 11, 163, 12 ",163,Maybe
6/1/2017 17:50:09,2,2,October,28,99,47,99,99,Anderson,None,Yes
6/1/2017 18:06:00,K,2,July,83,83,99,99,95,"LL, PS11, PS33",none,
6/1/2017 18:19:31,K,14,May,26,99,44,99,99,NEST,NEST,Yes
6/1/2017 19:10:52,2,3,April,29,99,44,99,99,"Anderson, Nest, Tag, BSI, Q300, PS166, PS163",PS 163,Maybe
6/1/2017 19:34:07,1,3,December,27,99,43,99,99,All CW,Q300,Yes
6/1/2017 20:46:58,K,2,April,29,99,42,99,99,"Anderson, Nest+M, Lower Lab, BSI, 33,11,111",Lower Lab,Yes
6/1/2017 23:31:05,K,2,January,28,99,41,99,99,"Anderson, NEST+T, Lower Lab, TAG",Anderson,Yes
6/2/2017 9:52:09,1,2,March,**,98,**,98,98,,,
6/2/2017 12:03:31,K,2,July,24,97,34,98,98,"NEST,LL,Anderson,TAG,PS130,PS11,PS124",PS130,Maybe
6/2/2017 13:20:23,K,3,April,23,96,39,99,98,,PS166,Yes
6/4/2017 6:36:43,K,2,April,27,99,37,99,99,NEST/PS33,NEST,Yes
6/4/2017 21:25:21,1,3,November,-,99,-,99,99,"Anderson, NEST, PS 166, TAG, LL",PS 166,Yes
6/6/2017 17:11:07,K,2,April,25,98,39,99,99,"LL, Anderson, Nest+m, 198",Lower Lab,Yes
6/6/2017 23:23:20,K,26,January,24,96,45,99,98,,,Maybe
6/7/2017 23:25:27,K,2,December,99,99,99,99,99,,,Yes
6/20/2017 16:06:54,1,2,August,30,99,44,99,99,"Lower Lab, Anderson, PS 11, NEST + m, Ps 33",Lower lab (off waitlist),Yes
6/21/2017 22:52:59,K,20,July,97,97,97,99,98,PS229,Ps205,Yes
9/14/2017 16:39:55,K,32,February,26,99,40,99,99,,,Maybe
11/19/2017 17:07:05,K,4,April,19,84,33,95,91,Ps 102,Ps102,Yes
1/11/2019 15:03:41,K,2,January,24,97,44,99,98,Ps11,Ps33,Yes